Player,Tm,2025-26,Rk,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
Garrison Mathews,IND,"$131,970 ",398.0,29.0,IND,SG,15.0,1.0,196.0,21.0,52.0,0.404,17.0,46.0,0.37,4.0,6.0,0.667,0.567,19.0,23.0,0.826,2.0,15.0,17.0,10.0,6.0,3.0,3.0,19.0,78.0,0.0,,mathega01
Garrison Mathews,IND,"$131,970 ",398.0,29.0,IND,SG,15.0,1.0,196.0,21.0,52.0,0.404,17.0,46.0,0.37,4.0,6.0,0.667,0.567,19.0,23.0,0.826,2.0,15.0,17.0,10.0,6.0,3.0,3.0,19.0,78.0,0.0,,mathega01
Mac McClung,IND,"$164,060 ",459.0,27.0,2TM,SG,4.0,0.0,47.0,9.0,25.0,0.36,2.0,12.0,0.167,7.0,13.0,0.538,0.4,3.0,4.0,0.75,0.0,5.0,5.0,2.0,5.0,2.0,3.0,8.0,23.0,0.0,,mccluma01
Mac McClung,IND,"$164,060 ",459.0,27.0,IND,SG,3.0,0.0,34.0,7.0,18.0,0.389,2.0,10.0,0.2,5.0,8.0,0.625,0.444,3.0,4.0,0.75,0.0,4.0,4.0,1.0,5.0,1.0,2.0,6.0,19.0,0.0,,mccluma01
Mac McClung,IND,"$164,060 ",459.0,27.0,CHI,SG,1.0,0.0,13.0,2.0,7.0,0.286,0.0,2.0,0.0,2.0,5.0,0.4,0.286,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,0.0,,mccluma01
Isaac Jones,DET,"$1,955,377 ",515.0,25.0,2TM,PF,4.0,1.0,18.0,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,2.0,0.5,2.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,,jonesis01
Isaac Jones,DET,"$1,955,377 ",515.0,25.0,SAC,PF,3.0,1.0,17.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,2.0,0.5,2.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,,jonesis01
Isaac Jones,DET,"$1,955,377 ",515.0,25.0,DET,PF,1.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,jonesis01
Leonard Miller,CHI,"$2,221,677 ",429.0,22.0,2TM,SF,21.0,0.0,104.0,20.0,35.0,0.571,1.0,12.0,0.083,19.0,23.0,0.826,0.586,8.0,12.0,0.667,7.0,21.0,28.0,5.0,5.0,0.0,9.0,13.0,49.0,0.0,,millele01
Leonard Miller,CHI,"$2,221,677 ",429.0,22.0,MIN,SF,19.0,0.0,95.0,18.0,33.0,0.545,1.0,12.0,0.083,17.0,21.0,0.81,0.561,7.0,11.0,0.636,7.0,18.0,25.0,5.0,4.0,0.0,9.0,12.0,44.0,0.0,,millele01
Leonard Miller,CHI,"$2,221,677 ",429.0,22.0,CHI,SF,2.0,0.0,9.0,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,,millele01
Trayce Jackson-Davis,TOR,"$2,221,677 ",338.0,25.0,2TM,C,38.0,1.0,436.0,62.0,107.0,0.579,1.0,1.0,1.0,61.0,106.0,0.575,0.584,35.0,62.0,0.565,56.0,69.0,125.0,34.0,15.0,20.0,19.0,40.0,160.0,0.0,,jackstr02
Trayce Jackson-Davis,TOR,"$2,221,677 ",338.0,25.0,GSW,C,36.0,1.0,411.0,60.0,102.0,0.588,1.0,1.0,1.0,59.0,101.0,0.584,0.593,29.0,52.0,0.558,47.0,65.0,112.0,32.0,13.0,19.0,18.0,40.0,150.0,0.0,,jackstr02
Trayce Jackson-Davis,TOR,"$2,221,677 ",338.0,25.0,TOR,C,2.0,0.0,25.0,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,6.0,10.0,0.6,9.0,4.0,13.0,2.0,2.0,1.0,1.0,0.0,10.0,0.0,,jackstr02
Julian Phillips,MIN,"$2,221,677 ",381.0,22.0,2TM,SF,37.0,2.0,342.0,39.0,92.0,0.424,16.0,50.0,0.32,23.0,42.0,0.548,0.511,11.0,13.0,0.846,22.0,22.0,44.0,7.0,19.0,6.0,7.0,34.0,105.0,0.0,,phillju01
Julian Phillips,MIN,"$2,221,677 ",381.0,22.0,CHI,SF,35.0,2.0,334.0,37.0,88.0,0.42,16.0,49.0,0.327,21.0,39.0,0.538,0.511,9.0,11.0,0.818,22.0,22.0,44.0,7.0,17.0,6.0,7.0,33.0,99.0,0.0,,phillju01
Julian Phillips,MIN,"$2,221,677 ",381.0,22.0,MIN,SF,2.0,0.0,8.0,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0,,phillju01
Marvin Bagley III,DAL,"$2,296,274 ",186.0,26.0,2TM,PF,41.0,8.0,800.0,167.0,271.0,0.616,9.0,21.0,0.429,158.0,250.0,0.632,0.633,74.0,110.0,0.673,109.0,131.0,240.0,60.0,22.0,31.0,45.0,84.0,417.0,0.0,,baglema01
Marvin Bagley III,DAL,"$2,296,274 ",186.0,26.0,WAS,PF,38.0,8.0,731.0,154.0,246.0,0.626,8.0,19.0,0.421,146.0,227.0,0.643,0.642,69.0,97.0,0.711,97.0,119.0,216.0,56.0,20.0,27.0,44.0,78.0,385.0,0.0,,baglema01
